2020-03-08 09:42:54,185 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-01-17.
2020-03-08 09:42:54,186 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,188 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-01-18.
2020-03-08 09:42:54,191 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,193 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-01-19.
2020-03-08 09:42:54,194 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,195 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-01-20.
2020-03-08 09:42:54,196 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,198 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-01-21.
2020-03-08 09:42:54,200 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,202 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-01-22.
2020-03-08 09:42:54,204 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,205 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-01-23.
2020-03-08 09:42:54,206 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,208 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-01-24.
2020-03-08 09:42:54,209 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,211 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-01-25.
2020-03-08 09:42:54,212 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,214 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-01-26.
2020-03-08 09:42:54,216 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,217 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-01-27.
2020-03-08 09:42:54,218 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,220 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-01-28.
2020-03-08 09:42:54,222 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,223 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-01-29.
2020-03-08 09:42:54,224 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,226 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-01-30.
2020-03-08 09:42:54,227 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,230 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-01-31.
2020-03-08 09:42:54,231 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,233 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-02-01.
2020-03-08 09:42:54,235 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,236 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-02-02.
2020-03-08 09:42:54,237 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,240 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-02-03.
2020-03-08 09:42:54,241 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,242 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-02-04.
2020-03-08 09:42:54,244 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,245 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-02-05.
2020-03-08 09:42:54,246 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,248 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-02-06.
2020-03-08 09:42:54,249 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,251 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-02-07.
2020-03-08 09:42:54,252 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,255 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-02-08.
2020-03-08 09:42:54,256 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,257 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-02-09.
2020-03-08 09:42:54,258 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,260 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-02-10.
2020-03-08 09:42:54,262 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,264 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-02-11.
2020-03-08 09:42:54,266 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,268 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-02-12.
2020-03-08 09:42:54,269 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,270 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-02-13.
2020-03-08 09:42:54,272 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,274 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-02-14.
2020-03-08 09:42:54,275 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,277 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-02-15.
2020-03-08 09:42:54,278 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,280 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-02-16.
2020-03-08 09:42:54,282 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,284 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-02-17.
2020-03-08 09:42:54,285 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,286 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-02-18.
2020-03-08 09:42:54,288 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,289 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-02-19.
2020-03-08 09:42:54,290 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,292 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-02-20.
2020-03-08 09:42:54,294 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,295 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-02-21.
2020-03-08 09:42:54,297 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,299 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-02-22.
2020-03-08 09:42:54,300 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,301 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-02-23.
2020-03-08 09:42:54,303 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,305 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-02-24.
2020-03-08 09:42:54,306 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,308 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-02-25.
2020-03-08 09:42:54,309 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,310 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-02-26.
2020-03-08 09:42:54,311 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,314 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-02-27.
2020-03-08 09:42:54,315 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,316 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-02-28.
2020-03-08 09:42:54,318 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,320 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-02-29.
2020-03-08 09:42:54,321 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,322 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-03-01.
2020-03-08 09:42:54,325 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,326 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-03-02.
2020-03-08 09:42:54,328 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,329 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-03-03.
2020-03-08 09:42:54,332 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,333 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-03-04.
2020-03-08 09:42:54,334 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,336 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-03-05.
2020-03-08 09:42:54,338 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,339 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-03-06.
2020-03-08 09:42:54,340 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,342 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-03-07.
2020-03-08 09:42:54,343 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,345 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-03-08.
2020-03-08 09:42:54,346 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,348 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-03-09.
2020-03-08 09:42:54,349 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,351 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-03-10.
2020-03-08 09:42:54,352 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,354 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-03-11.
2020-03-08 09:42:54,355 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,357 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-03-12.
2020-03-08 09:42:54,358 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,359 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-03-13.
2020-03-08 09:42:54,360 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,362 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-03-14.
2020-03-08 09:42:54,364 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,367 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-03-15.
